id,type_of_shot,frame_count,kpt_0_x,kpt_0_y,kpt_1_x,kpt_1_y,kpt_2_x,kpt_2_y,kpt_3_x,kpt_3_y,kpt_4_x,kpt_4_y,kpt_5_x,kpt_5_y,kpt_6_x,kpt_6_y,kpt_7_x,kpt_7_y,kpt_8_x,kpt_8_y,kpt_9_x,kpt_9_y,kpt_10_x,kpt_10_y,kpt_11_x,kpt_11_y,kpt_12_x,kpt_12_y,kpt_13_x,kpt_13_y,kpt_14_x,kpt_14_y,kpt_15_x,kpt_15_y,kpt_16_x,kpt_16_y
51,net shot,0,0.0,0.0,0.0,0.0,0.0,0.0,816.1848754882812,291.7881774902344,0.0,0.0,815.8292236328125,329.2569580078125,865.1364135742188,325.834716796875,778.8770751953125,344.1959228515625,904.5009765625,354.07000732421875,756.0289306640625,355.6583251953125,936.6809692382812,385.6192321777344,828.6796264648438,434.57220458984375,853.9072265625,435.47259521484375,788.4365844726562,483.3294677734375,793.1836547851562,486.7299499511719,764.9207763671875,543.8142700195312,837.3531494140625,542.134521484375
51,net shot,1,0.0,0.0,0.0,0.0,0.0,0.0,836.0523071289062,285.18505859375,0.0,0.0,828.0848388671875,324.32147216796875,888.310302734375,320.29168701171875,780.1519775390625,346.6288452148437,925.498291015625,337.23291015625,774.3493041992188,341.0428161621094,955.47412109375,374.8728637695313,844.689697265625,429.8506164550781,879.080810546875,428.18408203125,814.0211791992188,489.0848388671875,828.4893798828125,472.9686584472656,866.533935546875,551.8988037109375,849.536865234375,543.4317626953125
51,net shot,2,0.0,0.0,0.0,0.0,0.0,0.0,859.49365234375,282.64996337890625,0.0,0.0,853.7669677734375,319.185546875,908.1262817382812,318.8011779785156,813.8873291015625,328.22198486328125,952.1670532226562,350.1932373046875,796.0661010742188,334.606201171875,981.7071533203124,372.8790893554688,863.3699340820312,424.9985046386719,893.5669555664062,422.9705200195313,832.7538452148438,486.6997680664063,845.7242431640625,470.5671691894531,885.72802734375,556.08251953125,873.5385131835938,544.760986328125
51,net shot,3,0.0,0.0,0.0,0.0,0.0,0.0,879.7739868164062,277.7203063964844,0.0,0.0,874.5113525390625,315.7558898925781,930.8335571289062,316.2809753417969,828.679443359375,325.28759765625,969.3582763671876,350.9211730957031,829.2210083007812,302.4620361328125,1000.2012939453124,367.4265747070313,883.7420043945312,420.9389343261719,916.2386474609376,418.889892578125,851.6810913085938,486.2504577636719,858.8980712890625,462.5269165039063,892.361572265625,557.544189453125,880.2285766601562,535.4566650390625
51,net shot,4,0.0,0.0,0.0,0.0,0.0,0.0,900.3432006835938,271.9706420898437,0.0,0.0,893.87939453125,311.69110107421875,949.88818359375,310.6759033203125,844.0625,311.04254150390625,978.4523315429688,331.513427734375,844.5135498046875,279.7467041015625,0.0,0.0,904.0983276367188,416.69580078125,938.6834106445312,414.53900146484375,866.343994140625,483.3752136230469,877.7874755859375,457.3763122558594,897.5433959960938,562.732666015625,895.0337524414062,538.2833862304688
51,net shot,5,0.0,0.0,0.0,0.0,0.0,0.0,922.1822509765624,267.65289306640625,0.0,0.0,915.7960205078124,303.77032470703125,967.1514892578124,302.9232177734375,867.5181884765625,297.9388427734375,993.0226440429688,319.3963317871094,859.308349609375,268.56475830078125,972.138671875,333.00592041015625,924.3743896484376,407.9631958007813,954.1372680664062,406.8051452636719,883.687744140625,471.8926086425781,894.5674438476562,458.37158203125,898.7991333007812,560.0397338867188,901.2271728515624,542.74365234375
51,net shot,6,0.0,0.0,0.0,0.0,0.0,0.0,943.9307250976562,260.7959289550781,0.0,0.0,935.690673828125,295.6090087890625,992.532470703125,295.8387451171875,876.803955078125,284.4923095703125,1017.4622802734376,315.60498046875,866.144287109375,239.2979736328125,991.4044189453124,325.1303405761719,945.5302734375,402.4141540527344,977.94482421875,399.8734130859375,900.6266479492188,465.9302978515625,912.3956298828124,446.72552490234375,900.5112915039062,553.2757568359375,911.0863037109376,525.660400390625
51,net shot,7,0.0,0.0,0.0,0.0,0.0,0.0,966.8055419921876,257.84912109375,0.0,0.0,955.0624389648438,291.181884765625,1012.9152221679688,293.10174560546875,897.0419311523438,278.0379333496094,1037.9508056640625,303.0881652832031,877.2901611328125,241.1340789794922,1010.4837646484376,292.93682861328125,966.555908203125,397.1087646484375,999.497314453125,395.9473876953125,925.4744873046876,453.8886413574219,937.0545654296876,436.58099365234375,905.6930541992188,540.5433349609375,915.8504028320312,513.352783203125
51,net shot,8,0.0,0.0,0.0,0.0,0.0,0.0,992.7611083984376,254.70233154296875,0.0,0.0,980.0798950195312,286.8820495605469,1037.9708251953125,288.730224609375,917.2678833007812,273.58599853515625,1086.820556640625,301.0937805175781,888.7772216796875,238.2738037109375,1136.30810546875,300.7449035644531,990.1306762695312,389.8806762695313,1020.5932006835938,389.2483520507813,951.8092651367188,439.0901794433594,963.485595703125,427.1419067382813,922.10205078125,523.920166015625,931.0731811523438,505.78167724609375
51,net shot,9,0.0,0.0,0.0,0.0,0.0,0.0,1014.4293212890624,256.6304626464844,0.0,0.0,1002.3174438476562,288.5165405273437,1057.3203125,287.8658142089844,944.5325317382812,279.5438842773437,1106.48779296875,295.93316650390625,905.0952758789062,250.7205047607422,1153.5335693359375,290.7450561523437,1010.801025390625,391.0504760742188,1047.653564453125,386.452392578125,970.8496704101562,434.2253112792969,1067.375244140625,412.1560668945313,940.2503662109376,520.425048828125,1107.93701171875,417.19281005859375
